Merged ERD Fields,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
zoning_summary,,,
zoning_type,,,
,Parcel_parcelverificationdata,,
,Parcel_parcelcomments,,
,Sales_pricepersf,,
,Sales_priceperra,,
,Sales_priceperlandsf,,
,Sales_pricepergbameters,,
,Sales_priceperrameters,,
,Sales_landvaluepersf,,
,Sales_improvementvalue,,
,Sales_improvementvaluepersf,,
,Sites_landsf,,
,Sites_usableacres,,
,Sites_usablelandsf,,
,Sites_UnusableAcres,,
,Sites_UnusableLandSF,,
,Sites_excessacres,,
,Sites_excesslandsf,,
,Sites_SurplusAcres,,
,Sites_SurplusLandSF,,
,Sites_easementacres,,
,Sites_easementlandsf,,
,Sites_buildablesf,,
,Sites_proposedsf,,
,Improvement_noofbuildings,,
,Improvement_noofmultifamilyunits,,
,Improvement_gbamultifamily,,
,Improvement_ramultifamily,,
,Improvement_noofofficeunits,,
,Improvement_gbaoffice,,
,Improvement_raoffice,,
,Improvement_percentoffice,,
,Improvement_percentofficera,,
,Improvement_noofretailunits,,
,Improvement_gbaretail,,
,Improvement_raretailgla,,
,Improvement_percentretail,,
,Improvement_noofindustrialunits,,
,Improvement_gbaindustrial,,
,Improvement_raindustrial,,
,Improvement_noofotherunits,,
,Improvement_gbaother,,
,Improvement_raother,,
,Improvement_gbatotal,,
,Improvement_ratotal,,
,Improvement_parkingratiogba,,
,Improvement_parkingratiora,,
,Improvement_improvmentcomments,,
,Improvement_gbamultifamilymeters,,
,Improvement_ramultifamilymeters,,
,Improvement_gbaofficemeters,,
,Improvement_raofficemeters,,
,Improvement_gbaretailMeters,,
,Improvement_raretailmeters,,
,Improvement_gbaindustrialmeters,,
,Improvement_raindustrialmeters,,
,Improvement_gbaothermeters,,
,Improvement_raothermeters,,
,Improvement_gbatotalmeters,,
,Rent Roll Summary_commrentpersfmin,,
,Rent Roll Summary_commrentpersfmax,,
,Rent Roll Summary_commsizemin,,
,Rent Roll Summary_commsizemax,,
,Rent Roll Summary_commverificationsource,,
,Rent Roll Summary_nooftenants,,
,Rent Roll Summary_sfleased,,
,Rent Roll_tenant,,
,Rent Roll_unitsf,,
,Rent Roll_effectiverentsf,,
,Rent Roll_baserentsf,,
,Rent Roll_baserentsfmo,,
,Rent Roll_commleasesurveydate,,
,Rent Roll_datasource,,
,Rent Roll_rentpersfpermo,,
,Unit Lease Summary_ID,,
,Unit Lease Summary_instancetype,,
,Unit Lease_unitsf,,
,Unit Lease_annualrentpersf,,
,Unit Lease_rentpersfpermo,,
,Unit Lease_sizem2,,
,Unit Lease_rentperm2,,
,Unit Lease_sfsizemin,,
,Unit Lease_sfsizemax,,
,Unit Lease Summary_mfrentpersfmin,,
,Unit Lease Summary_mfrentpersfmax,,
,Unit Lease Summary_mfsizesfmin,,
,Unit Lease Summary_mfsizesfmax,,
,Unit Lease Summary_shiloccupancypercentage,,
,Unit Lease Summary_shilsecondpersonfeemonthly,,
,incExp_name,,
,incExp_surveydate,,
,incExp_annualrent,,
,incExp_baserentabatement,,
,incExp_expensereimbursements,,
,incExp_netparkingincome,,
,incExp_percentagerent,,
,incExp_otherincome,,
,incExp_pgi,,
,incExp_pgipersf,,
,incExp_pgiperunit,,
,incExp_vacancycost,,
,incExp_vacancy,,
,incExp_vacancycostpersf,,
,incExp_vacancycostperunit,,
,incExp_occupancy,,
,incExp_egi,,
,incExp_egipersf,,
,incExp_egiperunit,,
,incExp_taxexpense,,
,incExp_insurance,,
,incExp_onsitemanagementexp,,
,incExp_management,,
,incExp_advertisingandmarketing,,
,incExp_electricexpense,,
,incExp_waterexpense,,
,incExp_sewerexpense,,
,incExp_gasexpense,,
,incExp_fuelexpense,,
,incExp_trashexpense,,
,incExp_buildingrepairs,,
,incExp_otherrepairs,,
,incExp_repairsandmaintenance,,
,incExp_paintinganddecorating,,
,incExp_generalandadministrative2,,
,incExp_cleaning,,
,incExp_managerleasingsalaries,,
,incExp_maintenancesalaries,,
,incExp_othersalaries,,
,incExp_payrolltaxes,,
,incExp_payrolltotal,,
,incExp_groundsandsecurity,,
,incExp_professionalservicesexp,,
,incExp_generalandadministrative,,
,incExp_nonrevenueunits,,
,incExp_otherexpenses,,
,incExp_reserves,,
,incExp_deductreserves,,
,incExp_expleasingcommissions,,
,incExp_exptenantimprovements,,
,incExp_GroundRentExp,,
,incExp_totalexpenses,,
,incExp_ExpensePerSF,,
,incExp_ExpensePerUnit,,
,incExp_expenseratio,,
,incExp_noi,,
,incExp_noipersf,,
,incExp_noiperbed,,
,incExp_noipergbam2,,
,incExp_noiperrasf,,
,incExp_noiperunit,,
,incExp_noiperusablesf,,
,Saleinfo_NIM,,
,Assessment_improvementassessment,,
,Assessment_taxyear,,
,Assessment_taxratecode,,
,Assessment_taxrateper,,
,Assessment_taxes,,
,Assessment_marketvalue,,
,Assessment_taxespersfgba,,
,Assessment_taxesperra,,
,Assessment_taxesperunit,,
,Assessment_taxesperlandsf,,
,Assessment_taxesperacre,,
,Assessment_taxesperlandunit,,
,Assessment_taxespergbam2,,
,Assessment_taxesperram2,,
,Assessment_taxesperhectares,,
,Assessment_taxesperlandm2,,
,Assessment_assessmentcomments,,
,Assessment_assessorwebsite,,
,Assessment_historicalassessedvalue1,,
,Assessment_historicalassessedvalue2,,
,Assessment_historicalassessedvalue3,,
,Assessment_historicalassessedvalue4,,
,Assessment_historicalimprovvalue1,,
,Assessment_historicalimprovvalue2,,
,Assessment_historicalimprovvalue3,,
,Assessment_historicalimprovvalue4,,
,Assessment_historicallandvalue1,,
,Assessment_historicallandvalue2,,
,Assessment_historicallandvalue3,,
,Assessment_historicallandvalue4,,
,Assessment_historicaltaxes1,,
,Assessment_historicaltaxes2,,
,Assessment_historicaltaxes3,,
,Assessment_historicaltaxes4,,
,Assessment_historicalyear1,,
,Assessment_historicalyear2,,
,Assessment_historicalyear3,,
,Assessment_historicalyear4,,
,Assessment_historicalassessedvalue1,,
,Assessment_historicalassessedvalue2,,
,Assessment_historicalassessedvalue3,,
,Assessment_historicalassessedvalue4,,
,Assessment_historicalimprovvalue1,,
,Assessment_historicalimprovvalue2,,
,Assessment_historicalimprovvalue3,,
,Assessment_historicalimprovvalue4,,
,Assessment_historicallandvalue1,,
,Assessment_historicallandvalue2,,
,Assessment_historicallandvalue3,,
,Assessment_historicallandvalue4,,
,Assessment_historicaltaxes1,,
,Assessment_historicaltaxes2,,
,Assessment_historicaltaxes3,,
,Assessment_historicaltaxes4,,
,Assessment_historicalyear1,,
,Assessment_historicalyear2,,
,Assessment_historicalyear3,,
,Assessment_historicalyear4,,
